642 1280
-92.262736 0.279191 -27.645530
-95.002754 -5.527369 -20.655407
-94.672770 6.017982 -20.719668
-95.417654 -11.765226 -12.365988
-96.027219 0.456182 -12.584804
-94.805199 12.163055 -12.571642
-93.300599 -17.949128 -3.368268
-94.134204 -5.667691 -3.532527
-93.829370 6.547992 -3.668797
-92.849550 18.319920 -3.783714
-92.305903 -9.524437 -30.580151
-91.356671 9.562432 -30.482683
-89.112099 -23.660518 5.630883
-90.589374 -11.712050 5.612469
-90.637549 0.668372 5.470955
-90.363960 12.574655 5.308439
-88.188067 23.863605 4.996072
-94.442125 -16.431784 -22.899164
-94.046301 16.427288 -23.188471
-83.413727 -28.603817 14.500251
-86.139788 -17.469697 14.922152
-86.848798 -5.357526 14.923573
-86.309804 6.654885 14.673116
-85.706177 18.275736 14.414155
-82.369510 28.710637 13.614968
-88.987741 0.175774 -36.445559
-94.475199 -23.581087 -13.891092
-93.066018 23.231448 -14.238988
-76.971880 -32.695791 22.407907
-80.619328 -22.648049 23.501644
-81.653655 -11.044915 23.708927
-81.851741 0.881828 23.634577
-81.930904 12.424628 23.525229
-80.182789 23.427566 22.815135
-76.378455 32.949817 21.439290
-90.307423 -29.759261 -4.068105
-88.917226 29.298959 -4.713874
-70.867448 -36.269541 29.471025
-74.479848 -27.101115 31.068788
-76.570870 -16.378491 31.930004
-76.975565 -4.839233 31.985463
-76.823631 6.576975 31.779569
-76.303650 17.647773 31.403969
-74.152689 27.898404 30.267980
-70.508176 36.630328 28.444692
-93.701858 -21.651855 -34.616662
-89.672459 20.308710 -33.573263
-84.025597 -34.796462 5.341674
-82.963744 34.387175 4.440941
-64.504647 -38.941247 35.341490
-67.907863 -30.676012 37.367088
-70.804310 -21.075253 39.060899
-71.726564 -10.158781 39.507858
-71.770079 1.067138 39.403075
-71.451082 11.844183 39.077452
-70.311191 22.238716 38.244299
-68.160382 31.748499 36.790989
-64.603093 39.608488 34.479787
-91.837103 -28.765402 -25.041349
-90.412226 27.877547 -25.309728
-77.399298 -39.026578 14.344175
-76.596347 38.705693 13.257256
-90.714733 -10.864020 -41.503067
-87.815580 10.354845 -40.376021
-89.005714 -35.722697 -14.995859
-87.723671 34.741133 -15.608490
-71.074918 -42.676669 22.423890
-70.283150 42.330060 21.139179
-83.031622 -41.076878 -4.701956
-81.969140 40.123052 -5.605217
-84.904906 0.053480 -46.851880
-64.415585 -45.248943 29.249095
-64.031426 45.186774 27.987000
-89.598732 -34.558220 -37.221169
-84.661790 31.686211 -35.861368
